title,date,location
Quincy Bus Facility Virtual Public Meeting,"June 24, 2020, 5:30 PM","Virtual, Boston, MA"
Means-Tested Fares Challenge: Informational Webinar,"June 25, 2020, 11:30 AM","Virtual, Boston, MA"
Green Line C Branch Track and Intersection Upgrades Virtual Public Meeting,"June 29, 2020, 6:00 PM","Virtual, Boston, MA"
Capital Programs Committee Meeting,"July 15, 2020, 11:30 AM","State Transportation Building, 2nd Floor, Boston, MA"
Advisory Meeting | Riders' Transportation Access Group Meeting,"July 16, 2020, 4:00 PM","Virtual, Boston, MA"
Roslindale Robert Street Bridge Replacement Project Virtual Public Information Meeting,"July 16, 2020, 6:00 PM","Virtual, Boston, MA"
Green Line E Branch Track and Intersections Upgrades Virtual Public Meeting,"July 23, 2020, 6:00 PM","Virtual, Boston, MA"
Senior CharlieCard Event,"July 27, 2020, 11:00 AM","Sharon Communtiy Center, Lower Level, Adult Center/Council on Aging, Sharon, MA"
Reunión pública sobre los cambios al servicio de autobuses para otoño 2020,"August 12, 2020, 6:00 PM","Virtual, Boston, MA"
Fall 2020 Bus Service Changes Public Meeting,"August 13, 2020, 6:00 PM","Virtual, Boston, MA"
Finance and Audit Committee Meeting,"August 19, 2020, 9:30 AM","State Transportation Building, 2nd Floor, Boston, MA"
Capital Programs Committee Meeting,"August 19, 2020, 10:30 AM","State Transportation Building, 2nd Floor, Boston, MA"
Middleborough Virtual Community Meeting on South Coast Rail - POSTPONED,"August 20, 2020, 6:00 PM","Virtual, Middleborough, MA"
Codman Yard Expansion and Improvements Virtual Public Meeting,"August 20, 2020, 6:00 PM","Virtual, Boston, MA"
Disadvantaged Business Enterprise (DBE) Program Public Meeting,"August 21, 2020, 10:00 AM","Virtual, Boston, MA"
Joint Meeting of the MassDOT Board and the Fiscal and Management Control Board,"August 24, 2020, 10:00 AM","State Transportation Building, 2nd Floor, Boston, MA"
Middleborough Virtual Workshop on South Coast Rail - POSTPONED,"August 27, 2020, 6:00 PM","Virtual, Middleborough, MA"
Parker Street Bridge Replacement Virtual Public Meeting,"September 2, 2020, 6:00 PM","Virtual, Lawrence, MA"
Lynn Commercial Street Bridge Replacement Virtual Public Meeting,"September 9, 2020, 6:00 PM","Virtual, Lynn, MA"
Fiscal and Management Control Board Meeting,"September 14, 2020, 12:00 PM","State Transportation Building, 2nd Floor, Boston, MA"
Finance and Audit Committee Meeting,"September 16, 2020, 9:30 AM","State Transportation Building, 2nd Floor, Boston, MA"
Capital Programs Committee Meeting,"September 16, 2020, 10:30 AM","State Transportation Building, 2nd Floor, Boston, MA"
Quincy Bus Maintenance Facility MEPA ENF Scoping Session,"September 21, 2020, 10:00 AM","Virtual, Boston, MA"
Joint Meeting of the MassDOT Board and the Fiscal and Management Control Board,"September 21, 2020, 12:00 PM","State Transportation Building, 2nd Floor, Boston, MA"
New Bedford South Coast Rail Listening Session,"September 22, 2020, 6:00 PM","Virtual, New Bedford, MA"
Fiscal and Management Control Board Meeting,"October 5, 2020, 11:00 AM","State Transportation Building, 2nd Floor, Boston, MA"
Massachusetts Avenue Station Accessibility Improvements Virtual Public Meeting – POSTPONED,"October 8, 2020, 6:00 PM","Virtual, Boston, MA"
Lynn Fells Parkway Bridge Replacement Project Virtual Public Meeting,"October 13, 2020, 6:00 PM","Virtual, Melrose, MA"
Jackson Square Station Accessibility Improvements Virtual Public Meeting – POSTPONED,"October 13, 2020, 6:00 PM","Virtual, Boston, MA"
Finance and Audit Committee Meeting,"October 14, 2020, 9:30 AM","State Transportation Building, 2nd Floor, Boston, MA"
Capital Programs Committee Meeting,"October 14, 2020, 10:30 AM","State Transportation Building, 2nd Floor, Boston, MA"
Advisory Meeting | Riders' Transportation Access Group Meeting,"October 15, 2020, 5:30 PM","Virtual, Boston, MA"
Wellington Station Accessibility Improvements Virtual Public Meeting – POSTPONED,"October 15, 2020, 6:00 PM","Virtual, Boston, MA"
Joint Meeting of the MassDOT Board and the Fiscal and Management Control Board,"October 19, 2020, 12:00 PM","State Transportation Building, 2nd Floor, Boston, MA"
Porter Square Retaining Wall Repairs Virtual Public Meeting,"November 5, 2020, 6:00 PM","Virtual, Cambridge, MA"
Fiscal and Management Control Board Meeting,"November 9, 2020, 11:00 AM","State Transportation Building, 2nd Floor, Boston, MA"
Forging Ahead Virtual Public Meeting: Metrowest (Region 1),"November 10, 2020, 6:00 PM","Virtual, Boston, MA"
Forging Ahead Virtual Public Meeting: Minuteman (Region 2),"November 12, 2020, 6:00 PM","Virtual, Boston, MA"
Forging Ahead Virtual Public Meeting: Boston and Milton (Region 3),"November 14, 2020, 1:00 PM","Virtual, Boston, MA"
Forging Ahead Virtual Public Meeting: Inner Core (Region 4),"November 17, 2020, 6:00 PM","Virtual, Boston, MA"
Finance and Audit Committee Meeting,"November 18, 2020, 9:00 AM","State Transportation Building, 2nd Floor, Boston, MA"
Capital Programs Committee Meeting,"November 18, 2020, 10:30 AM","State Transportation Building, 2nd Floor, Boston, MA"
Forging Ahead Virtual Public Meeting: Mystic River (Region 5),"November 18, 2020, 6:00 PM","Virtual, Boston, MA"
Advisory Meeting | Riders' Transportation Access Group Meeting,"November 19, 2020, 2:00 PM","Virtual, Boston, MA"
Forging Ahead Virtual Public Hearing: System-Wide Service,"November 19, 2020, 6:00 PM","Virtual, Boston, MA"
Joint Meeting of the MassDOT Board and the Fiscal and Management Control Board,"November 23, 2020, 12:00 PM","State Transportation Building, 2nd Floor, Boston, MA"
Forging Ahead Virtual Public Meeting: South Shore (Region 6),"November 23, 2020, 6:00 PM","Virtual, Boston, MA"
Forging Ahead Virtual Public Meeting: North Shore (Region 7),"November 24, 2020, 6:00 PM","Virtual, Boston, MA"
Forging Ahead Virtual Public Meeting: Bristol (Region 8),"November 30, 2020, 6:00 PM","Virtual, Boston, MA"
Forging Ahead Virtual Public Meeting: Merrimack Valley (Region 9),"December 1, 2020, 6:00 PM","Virtual, Boston, MA"
Public Meeting on Accessibility and BCIL Settlement Update,"December 2, 2020, 1:00 PM","Virtual, Boston, MA"
Forging Ahead Virtual Public Meeting: System-Wide Service,"December 2, 2020, 6:00 PM","Virtual, Boston, MA"
Fiscal and Management Control Board Meeting,"December 7, 2020, 11:00 AM","State Transportation Building, 2nd Floor, Boston, MA"
Green Line Extension (GLX) Virtual Public Meeting,"December 9, 2020, 6:30 PM","Virtual, Somerville, MA"
Fiscal and Management Control Board Meeting,"December 14, 2020, 12:00 PM","State Transportation Building, 2nd Floor, Boston, MA"
High Line Bridge Replacement Virtual Public Meeting,"December 14, 2020, 6:00 PM","Virtual, Somerville, MA"
Quincy Bus Facility Virtual Public Meeting,"December 16, 2020, 5:30 PM","Virtual, Quincy, MA"
Joint Meeting of the MassDOT Board and the Fiscal and Management Control Board,"January 11, 2021, 12:00 PM","State Transportation Building, 2nd Floor, Boston, MA"
Hingham Ferry Dock Improvements Virtual Public Meeting,"January 14, 2021, 6:00 PM","Virtual Public Meeting, Boston, MA"
Advisory Meeting | Riders' Transportation Access Group Meeting,"January 20, 2021, 5:00 PM","Virtual, Boston, MA"
Fiscal and Management Control Board Meeting,"January 25, 2021, 12:00 PM","State Transportation Building, 2nd Floor, Boston, MA"
Middleborough South Coast Rail Virtual Meeting,"January 27, 2021, 6:00 PM","Virtual, Middleborough, MA"
Green Line Transformation B Branch Station Consolidation Virtual Public Meeting,"January 28, 2021, 6:00 PM","Virtual, Boston, MA"
Silver Line Extension Alternatives Analysis Working Group Meeting #1,"February 1, 2021, 12:30 PM","Virtual, Boston, MA"
Taunton South Coast Rail Virtual Meeting,"February 4, 2021, 6:00 PM","Virtual, Taunton, MA"
Fiscal and Management Control Board Meeting,"February 8, 2021, 12:00 PM","State Transportation Building, 2nd Floor, Boston, MA"
Spring 2021 Service Changes Virtual Public Meeting,"February 17, 2021, 6:00 PM","Virtual, Boston, MA"
Joint Meeting of the MassDOT Board and the Fiscal and Management Control Board,"February 22, 2021, 12:00 PM","State Transportation Building, 2nd Floor, Boston, MA"
Forging Ahead Service Level Reduction Environmental Notification Form (ENF) Consultation Session,"February 23, 2021, 6:00 PM","Virtual, Boston, MA"
Public Meeting | Winchester Center Station (Virtual),"February 23, 2021, 6:00 PM","Virtual, Winchester, MA"
Spring 2021 Service Changes Virtual Public Meeting,"February 24, 2021, 6:00 PM","Virtual, Boston, MA"
Fall River South Coast Rail Virtual Meeting,"February 25, 2021, 6:00 PM","Virtual, Fall River, MA"
Green Line Transformation Symphony Station Accessibility Improvements Virtual Public Meeting,"March 3, 2021, 6:00 PM","Virtual, Boston, MA"
